04/10/2024 10:20:13: User=A, Controller=Home, Action=Index
04/10/2024 10:20:18: User=A, Controller=Theme, Action=Switch
04/10/2024 10:20:18: User=A, Controller=Home, Action=Index
04/10/2024 10:20:30: User=A, Controller=Theme, Action=Switch
04/10/2024 10:20:30: User=A, Controller=Home, Action=Index
04/10/2024 10:20:31: User=A, Controller=Theme, Action=Switch
04/10/2024 10:20:31: User=A, Controller=Home, Action=Index
04/10/2024 10:20:31: User=A, Controller=Theme, Action=Switch
04/10/2024 10:20:31: User=A, Controller=Home, Action=Index
04/10/2024 10:21:14: User=A, Controller=Theme, Action=Switch
04/10/2024 10:21:14: User=A, Controller=Home, Action=Index
04/10/2024 10:21:17: User=A, Controller=Theme, Action=Switch
04/10/2024 10:21:17: User=A, Controller=Home, Action=Index
04/10/2024 10:21:22: User=A, Controller=User, Action=Logout
04/10/2024 10:21:22: User=A, Controller=User, Action=Index
04/10/2024 10:21:25: User=A, Controller=Theme, Action=Switch
04/10/2024 10:21:25: User=A, Controller=User, Action=Index
04/10/2024 10:22:32: User=A, Controller=User, Action=Index
04/10/2024 10:22:33: User=A, Controller=User, Action=Index
04/10/2024 10:22:36: User=A, Controller=User, Action=Index
04/10/2024 10:22:45: User=A, Controller=Theme, Action=Switch
04/10/2024 10:22:45: User=A, Controller=User, Action=Index
04/10/2024 10:22:46: User=A, Controller=Theme, Action=Switch
04/10/2024 10:22:46: User=A, Controller=User, Action=Index
04/10/2024 10:22:46: User=A, Controller=Theme, Action=Switch
04/10/2024 10:22:46: User=A, Controller=User, Action=Index
04/10/2024 10:22:46: User=A, Controller=Theme, Action=Switch
04/10/2024 10:22:46: User=A, Controller=User, Action=Index
04/10/2024 10:22:47: User=A, Controller=Theme, Action=Switch
04/10/2024 10:22:47: User=A, Controller=User, Action=Index
04/10/2024 10:22:48: User=A, Controller=Theme, Action=Switch
04/10/2024 10:22:48: User=A, Controller=User, Action=Index
